league,date,home_team,away_team,hm_odds,dr_odds,aw_odds,hmGfAtHm,hmGagAtHm,hmWatHm,hmDrAtHm,hmLosAtHm,awGfAtAw,awGagAtAw,awWatAw,awDrAtAw,awLosAtAw,hmOppGf,hmOppGagg,hmOppWin,hmOppDraw,hmOppLoss,awOppGf,awOppGagg,awOppWin,awOppDraw,awOppLoss,ftr
D1,24/05/2020 00:00:00,FC Koln,Fortuna Dusseldorf,1.72,4.00,4.20,2.165631382365639,1.1923714532225917,0.5349486128139757,0.2895911094544193,0.17546027773160494,0.925690019342354,1.9250067029773954,0.1450014323805302,0.44258816521645644,0.4124104024030134,1.5671828140867123,1.7432655889343849,0.3818321411616112,0.2390308571506096,0.3791370016877792,1.4965256387833403,1.5495547904113671,0.3903113271955856,0.21975146605191206,0.3899372067525024,D
D2,24/05/2020 00:00:00,Hamburg,Bielefeld,2.05,3.40,3.50,2.1969876357935396,0.9243167179094802,0.7539163820086778,0,0.24608361799132217,1.8076892833713842,1.0460680629976513,0.4935919965717696,0.4055914880303697,0.10081651539786074,1.1809571439497293,1.9022236725318329,0.1718398471589111,0.31693783147766524,0.5112223213634237,1.6111523417003049,1.2546475429861008,0.4820477616008222,0.25392691299599573,0.2640253254031821,D
D2,24/05/2020 00:00:00,Holstein Kiel,Stuttgart,3.30,3.60,2.05,1.1464298069169732,1.3863920192993435,0.21172084664762617,0.42800278228850375,0.3602763710638701,0.9419942706529902,1.6318630347868812,0.16961229461397792,0.2733304550565355,0.5570572503294867,1.1786369578573512,1.5345961005073705,0.22159466915380036,0.3103186020545882,0.4680867287916114,1.5536230068504877,1.2599080424306834,0.40527183329074745,0.33500749889834114,0.2597206678109114,H
D2,24/05/2020 00:00:00,Karlsruhe,Bochum,2.37,3.50,2.80,1.2296999768691455,1.307593871705442,0.3035980718598067,0.2887916711583177,0.40761025698187553,0.9706849294697091,1.172518843306991,0.360058284454118,0.3016612587881016,0.3382804567577805,1.4581644957151525,1.5858097948968102,0.2943078459150966,0.3113998756112305,0.39429227847367276,1.451296086225957,1.2627150408115813,0.4366722644090002,0.2881031129268278,0.275224622664172,D
D1,24/05/2020 00:00:00,Mainz,RB Leipzig,6.50,4.50,1.44,1.0989188817387203,1.4398291819393283,0.2728276790240517,0.2760801708528038,0.45109215012314446,1.8940453801188537,0.9876244949512132,0.3825279279701997,0.4358926565462471,0.18157941548355305,1.3714356420463059,1.7193053516918066,0.3039928093636088,0.2592174880899457,0.43678970254644545,2.020228757695005,1.3522008341687646,0.47229829126254136,0.24663888860238595,0.2810628201350727,A
D1,24/05/2020 00:00:00,Schalke 04,Augsburg,2.00,3.50,3.60,1.2172477350778295,1.5478108268115116,0.2824698102862703,0.5723565142354081,0.14517367547832144,0.6466966759261339,2.3007800436091217,0.15669538684102732,0.1430656634020697,0.7002389497569029,1.3832388313165307,1.645601686838284,0.31024225931029814,0.21764832308283283,0.47210941760686903,1.865676391543215,1.3944645216415024,0.4706239793353236,0.19962206354714523,0.3297539571175313,A
D1,22/05/2020,Hertha,Union Berlin,2.3,3.4,3,1.444989175832733,1.8254988922448179,0.28222272523650443,0.29507346488205927,0.42270380988143613,1.0157093435629743,2.542005646201343,0.27155480701414236,0.06931004965091879,0.6591351433349387,1.5426303881923318,1.9303184743962962,0.34238234793972533,0.1836548815384596,0.4739627705218151,1.7525981996826885,1.6542736121332773,0.388668177776652,0.22111858226231393,0.39021323996103413,D
D1,23/05/2020,Freiburg,Werder Bremen,2.15,3.75,3,0.9153168830496528,1.1804067537958882,0.4266235870683199,0.045609980743531564,0.5277664321881486,1.1274258385149025,1.747163701431873,0.3883333857601321,0.18471125453745113,0.4269553597024165,1.513527374911083,1.7655109159954265,0.3532303744212486,0.23010740603557617,0.41666221954317517,1.7655200523380608,1.4385469366485188,0.450492998102659,0.22726873740510908,0.32223826449223203,D
D1,23/05/2020,Paderborn,Hoffenheim,3.1,3.8,2.1,1.2435667290824837,1.9243611940681549,0.1300325206203651,0.30067448339494024,0.5692929959846948,1.3764282679375406,1.0179964612292747,0.3331515309487382,0.4856599956307624,0.18118847342049924,1.4014757662345922,1.7389242462677559,0.3211888296032915,0.18077736030364372,0.49803381009306485,1.9367318201614225,1.46712362130822,0.4972190510714576,0.16720177499570468,0.33557917393283776,D
D1,23/05/2020,Wolfsburg,Dortmund,4.2,4,1.72,1.0334549464022365,1.2089041478715115,0.19203827164941778,0.3639169538427439,0.4440447745078383,2.2394733213912623,1.2884949263475551,0.7073173823126253,0.05172844831830662,0.24095416936906788,1.665415557803641,1.9003097556235478,0.37690742566156066,0.18693652937515787,0.43615604496328153,1.7809015469752176,1.5730966588323099,0.4336577458868943,0.19988119927808126,0.3664610548350245,D
