,league,date,home_team,away_team,xG,xGA,npxG,npxGA,deep,deep_allowed,ppda_coef,oppda_coef,fthg,ftag,ftr
4579,EPL,2014-09-13,Stoke,Leicester,1.64782,0.598313,1.64782,0.598313,8,6,6.782608695652174,12.210526315789474,0,1,A
4199,EPL,2014-09-13,Southampton,Newcastle,2.11739,1.15026,2.11739,1.15026,4,1,11.8,20.55555555555556,4,0,H
382,La_liga,2014-09-13,Barcelona,Ath Bilbao,2.1772,0.0979707,2.1772,0.0979707,14,3,8.451612903225806,11.352941176470589,2,0,H
4313,EPL,2014-09-13,Sunderland,Tottenham,0.338966,2.03694,0.338966,2.03694,7,6,8.0,5.9375,2,2,D
4389,EPL,2014-09-13,Chelsea,Swansea,3.56581,1.02153,3.56581,1.02153,24,2,12.285714285714286,14.823529411764708,4,2,H
4275,EPL,2014-09-13,West Brom,Everton,0.602059,0.807492,0.602059,0.807492,6,4,9.382352941176473,19.153846153846157,0,2,A
20018,RFPL,2014-09-13,Zenit,Dynamo Moscow,1.21353,0.577028,1.21353,0.577028,7,3,9.208333333333334,6.233333333333333,3,2,H
15782,Ligue_1,2014-09-13,Rennes,Paris SG,0.28586,1.49453,0.28586,1.49453,2,9,25.5,7.933333333333334,1,1,D
2,La_liga,2014-09-13,Malaga,Levante,0.819725,0.358265,0.819725,0.358265,7,1,9.846153846153848,8.925925925925926,0,0,D
12025,Serie_A,2014-09-13,Empoli,Roma,0.593046,1.37321,0.593046,1.37321,7,7,11.9375,8.758620689655173,0,1,A
8604,Bundesliga,2014-09-13,Mgladbach,Schalke 04,3.37955,1.81788,3.37955,1.0601,13,8,12.071428571428571,12.909090909090908,4,1,H
4655,EPL,2014-09-13,Liverpool,Aston Villa,0.728097,0.701676,0.728097,0.701676,5,1,6.5,54.0,0,1,A
19958,RFPL,2014-09-13,FK Rostov,Rubin Kazan,0.656702,1.55467,0.656702,1.55467,3,10,9.80952380952381,4.75,1,2,A
420,La_liga,2014-09-13,Real Madrid,Ath Madrid,1.58778,1.11054,0.844502,1.11054,5,0,4.857142857142857,22.615384615384617,1,2,A
