,league,date,home_team,away_team,home_odds,home_odds_max,draw_odds,draw_odds_max,away_odds,away_odds_max
84,F2,2021-10-16,Bastia,Grenoble,2.0,2.12,3.1,3.25,4.33,4.33
85,F2,2021-10-16,Caen,Le Havre,2.45,2.56,2.9,3.22,3.2,3.3
86,F2,2021-10-16,Dijon,Amiens,2.05,2.25,3.3,3.3,3.6,3.72
87,F2,2021-10-16,Nancy,Guingamp,2.6,2.7,3.1,3.29,2.8,2.97
88,F2,2021-10-16,Pau FC,Paris FC,2.87,2.88,3.25,3.35,2.5,2.66
89,F2,2021-10-16,Quevilly Rouen,Niort,2.15,2.3,3.0,3.24,3.75,3.75
90,F2,2021-10-16,Rodez,Sochaux,3.2,3.43,3.0,3.05,2.37,2.5
91,F2,2021-10-16,Valenciennes,Dunkerque,2.05,2.15,3.3,3.34,3.8,4.06
92,F2,2021-10-18,Nimes,Ajaccio,2.2,2.42,3.1,3.13,3.5,3.6
93,G1,2021-10-16,Apollon,Asteras Tripolis,3.0,3.0,3.1,3.2,2.5,2.56
94,G1,2021-10-16,Panathinaikos,Ionikos,1.5,1.5,4.1,4.44,7.0,7.6
95,G1,2021-10-17,Panetolikos,OFI Crete,2.4,2.55,3.2,3.3,3.1,3.1
96,G1,2021-10-17,PAOK,Volos NFC,1.36,1.38,4.75,5.5,9.5,9.5
97,G1,2021-10-17,AEK,Atromitos,1.36,1.37,4.75,5.5,9.5,9.5
98,G1,2021-10-17,Giannina,Olympiakos,8.0,8.0,4.2,4.41,1.44,1.47
99,G1,2021-10-18,Lamia,Aris,4.0,4.0,3.2,3.3,2.05,2.13
100,I1,2021-10-16,Spezia,Salernitana,2.1,2.26,3.4,3.48,3.5,3.56
101,I1,2021-10-16,Lazio,Inter,3.3,3.58,3.5,3.55,2.15,2.27
102,I1,2021-10-16,Milan,Verona,1.55,1.58,4.2,4.48,5.75,6.65
103,I1,2021-10-17,Cagliari,Sampdoria,2.55,2.8,3.4,3.55,2.75,2.83
104,I1,2021-10-17,Empoli,Atalanta,5.75,6.0,4.33,4.45,1.55,1.67
105,I1,2021-10-17,Genoa,Sassuolo,3.1,3.39,3.5,3.6,2.25,2.4
106,I1,2021-10-17,Udinese,Bologna,2.25,2.4,3.4,3.5,3.2,3.23
107,I1,2021-10-17,Napoli,Torino,1.4,1.47,4.5,4.9,8.5,8.5
108,I1,2021-10-17,Juventus,Roma,1.85,1.98,3.8,3.9,4.0,4.3
109,I1,2021-10-18,Venezia,Fiorentina,4.2,4.33,3.75,3.81,1.83,1.94
110,I2,2021-10-16,Ascoli,Lecce,3.3,3.51,3.3,3.61,2.15,2.25
111,I2,2021-10-16,Crotone,Pisa,2.4,2.53,3.2,3.52,2.9,3.1
112,I2,2021-10-16,Pordenone,Ternana,3.1,3.13,3.4,3.54,2.25,2.38
113,I2,2021-10-16,Vicenza,Reggina,2.55,2.71,2.87,3.19,3.0,3.18
114,I2,2021-10-16,Cosenza,Frosinone,3.5,3.99,3.4,3.44,2.05,2.12
115,I2,2021-10-16,Perugia,Brescia,2.7,2.84,3.25,3.49,2.6,2.75
116,I2,2021-10-16,Como,Alessandria,2.0,2.19,3.3,3.41,3.75,3.95
117,I2,2021-10-17,Cremonese,Benevento,2.2,2.38,3.1,3.4,3.4,3.4
118,I2,2021-10-17,Parma,Monza,2.1,2.15,3.3,3.64,3.5,3.85
119,I2,2021-10-17,Cittadella,Spal,2.1,2.31,3.3,3.46,3.3,3.69
120,N1,2021-10-16,Feyenoord,Waalwijk,1.22,1.22,5.75,7.5,11.0,16.0
121,N1,2021-10-16,Go Ahead Eagles,Heracles,2.8,3.2,3.5,3.59,2.2,2.32
122,N1,2021-10-16,Heerenveen,Ajax,11.0,12.5,5.5,7.0,1.2,1.27
123,N1,2021-10-16,For Sittard,Cambuur,2.5,2.68,3.4,3.83,2.5,2.75
124,N1,2021-10-16,PSV Eindhoven,Zwolle,1.12,1.18,8.0,8.5,14.0,20.0
125,N1,2021-10-17,AZ Alkmaar,Utrecht,2.0,2.1,3.5,3.85,3.5,3.55
126,N1,2021-10-17,Nijmegen,Vitesse,3.2,3.2,3.2,3.71,2.15,2.31
127,N1,2021-10-17,Sparta Rotterdam,Groningen,2.2,2.4,3.2,3.58,2.87,3.25
128,N1,2021-10-17,Twente,Willem II,1.7,1.77,3.8,4.02,5.0,5.0
129,SC0,2021-10-16,Hibernian,Dundee United,1.66,1.75,3.8,4.15,5.0,5.3
130,SC0,2021-10-16,Motherwell,Celtic,6.5,7.2,4.33,4.5,1.5,1.54
131,SC0,2021-10-16,Rangers,Hearts,1.55,1.6,4.1,4.43,6.0,6.6
132,SC0,2021-10-16,Ross County,St Mirren,3.3,3.3,3.3,3.5,2.25,2.48
133,SC0,2021-10-16,St Johnstone,Livingston,1.85,1.93,3.3,3.51,4.75,5.0
134,SC0,2021-10-16,Dundee,Aberdeen,2.9,3.15,3.3,3.38,2.45,2.56
135,SC1,2021-10-15,Hamilton,Partick,2.8,3.2,3.4,3.4,2.15,2.41
136,SC1,2021-10-16,Ayr,Queen of Sth,2.55,2.86,3.2,3.28,2.5,2.7
137,SC1,2021-10-16,Dunfermline,Kilmarnock,3.5,4.33,3.5,3.5,1.83,1.95
138,SC1,2021-10-16,Inverness C,Morton,1.55,1.66,3.75,3.9,5.0,5.55
139,SC1,2021-10-16,Raith Rvs,Arbroath,2.1,2.26,3.2,3.36,3.1,3.36
140,SC2,2021-10-16,Alloa,Peterhead,1.9,2.19,3.6,3.85,3.25,3.6
141,SC2,2021-10-16,Clyde,Montrose,3.0,3.0,3.2,3.56,2.15,2.37
142,SC2,2021-10-16,Dumbarton,Queens Park,3.4,4.1,3.4,3.62,1.9,2.0
143,SC2,2021-10-16,East Fife,Cove Rangers,4.0,4.0,3.5,3.75,1.83,1.93
144,SC2,2021-10-16,Falkirk,Airdrie Utd,1.95,2.04,3.4,3.82,3.25,3.8
145,SC3,2021-10-15,Edinburgh City,Kelty Hearts,9.0,10.0,4.5,5.25,1.28,1.36
146,SC3,2021-10-16,Albion Rvs,Elgin,2.45,2.7,3.5,3.57,2.4,2.55
