ThisDiv,Date,HomeTeam,Hwpg,Hdpg,Hlpg,Hgspg,Hgcpg,Hstfpg,Hstapg,Hsfpg,Hsapg,AwayTeam,Awpg,Adpg,Alpg,Agspg,Agcpg,Astfpg,Astapg,Asfpg,Asapg,RowValid,FTR,Over
E3,25/08/2001 00:00:00,Exeter,0.35975662,0.43086934,0.20937411,0.99253386,0.9689987,4.29993,3.294581,8.740673,7.35987,Scunthorpe,0.22873607,0.072323404,0.6989405,0.7633804,1.1979469,4.161113,4.5627775,9.858193,10.125175,True,A,Y
SC2,25/08/2001 00:00:00,Queen of Sth,0.24224147,0.13249767,0.6252609,1.2601186,1.8047576,5.213832,5.8098435,10.839753,9.598825,Clydebank,0.5065811,0.2899979,0.20342092,1.1857474,0.74866253,4.5359864,4.713338,9.65188,9.231512,True,H,N
SC3,25/08/2001 00:00:00,Queens Park,0.09834594,0.5386545,0.36299953,0.4272924,0.9118606,2.9998448,3.3679104,7.5812593,7.5137177,East Stirling,0.33393422,0.19346096,0.47260478,1.9983958,2.015084,4.778589,5.8514543,9.007997,11.020501,True,A,Y
E1,25/08/2001 00:00:00,Sheffield Weds,0.40307236,0.18226705,0.41466057,1.1344094,1.203068,6.0417147,5.8318005,11.280392,10.130531,West Brom,0.17054933,0.24149676,0.5879539,0.94694316,1.4920884,3.9552956,4.71592,7.8050036,9.413256,True,D,N
E1,27/08/2001 00:00:00,Barnsley,0.539219,0.063453384,0.39732757,1.347621,1.2922816,4.807586,4.137629,10.8210945,10.100653,Rotherham,0.3271519,0.23810531,0.4347428,1.3547223,1.6852198,3.5201454,6.438985,6.311637,12.592549,True,D,N
E1,27/08/2001 00:00:00,Birmingham,0.60860586,0.09724413,0.29415002,1.6607822,0.62428963,5.7785387,4.401133,9.766814,6.829617,Stockport,0.19703065,0.27528805,0.5276813,1.2028236,1.9049646,2.8133478,4.8530655,6.2469344,11.390815,True,H,Y
E0,27/08/2001 00:00:00,Bolton,0.37260342,0.56250215,0.06489454,1.4905986,1.2639748,5.897571,4.358247,13.336598,9.3765335,Liverpool,0.6155648,0.24853507,0.13590012,1.8902586,0.695539,6.468061,5.2881823,11.244211,9.614454,True,H,Y
E2,27/08/2001 00:00:00,Stoke,0.6389103,0.2131388,0.14795093,2.174243,0.85203576,5.264394,3.262724,11.069466,7.0682507,Tranmere,0,0.15870215,0.84129775,0.7964849,1.937542,5.356431,6.28486,9.800998,12.00086,True,A,Y
E3,27/08/2001 00:00:00,Swansea,0.17659472,0.45073316,0.37267208,1.0658045,0.85876024,4.6507273,2.9509292,10.725399,7.0903454,Cheltenham,0,0.5222484,0.4777517,0.83320117,1.3725281,4.5112133,5.547585,10.16586,9.970334,True,D,Y
E1,27/08/2001 00:00:00,Watford,0.48549664,0.321571,0.19293235,2.1218216,1.5592431,7.977279,6.5872006,16.233637,11.482087,Walsall,0.32507688,0.51280636,0.16211666,1.3468605,0.9696573,3.8423917,5.339228,7.8681526,10.074296,True,H,Y
E2,02/09/2001 00:00:00,Huddersfield,0.66480047,0.10922188,0.22597769,1.619298,0.775332,4.9893446,3.1662931,8.587597,7.262324,Wycombe,0.28886166,0.2710363,0.44010216,1.2800342,1.6948396,3.877327,7.149259,9.293184,13.364809,True,H,Y
SC2,02/09/2001 00:00:00,Queen of Sth,0.40660772,0.07329927,0.520093,1.2163671,1.4642876,5.1778655,5.263407,11.555864,9.571928,Stenhousemuir,0.3404006,0.07669686,0.5829026,1.0281,2.2598522,4.604388,5.9111524,9.129595,10.148866,True,H,N
E1,08/09/2001 00:00:00,Birmingham,0.71271586,0.081031136,0.20625308,1.7950482,0.64807504,6.0210423,3.8065307,9.933563,6.8191705,Sheffield Weds,0.38732833,0.08257742,0.53009427,0.9305761,1.2917674,4.543676,5.2469254,11.381672,12.200945,True,H,N
SC3,08/09/2001 00:00:00,East Stirling,0.29528645,0.082784206,0.6219292,0.35281244,0.9844315,2.6563022,3.9527621,6.6988873,10.568914,Dumbarton,0.64091504,0.16690747,0.19217739,1.6345779,0.5481709,4.8279734,5.985572,8.828764,12.580306,True,A,Y
SC2,08/09/2001 00:00:00,Forfar,0.2635043,0.13462949,0.60186625,1.2994146,1.385515,4.341469,3.5805018,7.91282,7.3721185,Cowdenbeath,0.2653007,0.16669962,0.56799984,0.44765022,1.2877941,3.009532,3.8697755,8.404323,12.157513,True,H,Y
E3,08/09/2001 00:00:00,Halifax,0.28066048,0.33767483,0.38166472,1.1090056,1.1201092,5.027069,3.6741362,10.669914,7.845376,Macclesfield,0.100895695,0.36696056,0.5321437,0.6509771,2.0842721,5.3504057,8.847335,10.279023,14.897627,True,D,N
SC3,08/09/2001 00:00:00,Peterhead,0.26099917,0.30155337,0.4374475,0.9885607,1.4985325,6.0951047,5.6222076,12.807671,11.420543,Elgin,0.06639128,0.4191592,0.5144495,0.383026,1.2235386,2.8471594,4.2455587,6.236735,9.792141,True,D,N
E1,08/09/2001 00:00:00,Portsmouth,0.4024094,0.15663248,0.44095808,1.6671942,1.4334142,6.556515,4.7484913,12.196335,10.36402,Gillingham,0.14515752,0.43034273,0.4244997,0.80226356,1.1525543,3.7093828,5.1931586,8.657834,11.605516,True,H,Y
E1,08/09/2001 00:00:00,Preston,0.27836937,0.5857967,0.13583396,1.0813736,0.8774464,4.2914734,5.5280585,10.864425,9.808964,Wolves,0.4609137,0.20185372,0.33723253,1.2232848,1.0484799,4.36703,4.506942,9.577744,10.928253,True,A,Y
