ThisDiv,Date,HomeTeam,Hwpg,Hdpg,Hlpg,Hgspg,Hgcpg,Hstfpg,Hstapg,Hsfpg,Hsapg,AwayTeam,Awpg,Adpg,Alpg,Agspg,Agcpg,Astfpg,Astapg,Asfpg,Asapg,RowValid,FTR,Over
SC2,25/08/2001 00:00:00,Hamilton,0.5025032,0.43698475,0.06051198,1.4125715,0.6951269,4.939634,2.6334841,13.585387,5.6179285,Forfar,0.5189896,0.08964301,0.39136738,1.2707103,1.2738705,4.838214,4.533558,9.660754,10.479274,True,D,N
E0,25/08/2001 00:00:00,Southampton,0.699223,0.062350877,0.2384262,1.2761029,0.90088814,4.891555,3.8234556,12.718378,7.8438535,Chelsea,0.4419092,0.3215605,0.23653024,1.694001,0.9867644,6.286686,5.243953,12.207692,10.160027,True,A,N
E3,25/08/2001 00:00:00,Southend,0.5468831,0.31544268,0.13767432,1.2611934,0.8749549,6.4696164,3.8270626,12.293057,7.886406,Halifax,0.2668823,0.2758028,0.45731494,1.0799358,1.5405378,3.0910363,5.8123198,6.7860365,11.65406,True,H,Y
SC0,25/08/2001 00:00:00,St Johnstone,0.07598674,0.13631237,0.7877009,0.94805616,1.9496566,4.3194275,5.0516243,10.664475,9.280711,Aberdeen,0.24822998,0.17295495,0.57881504,0.8676706,1.1073227,3.2957766,5.765331,6.951283,12.021741,True,D,N
E2,27/08/2001 00:00:00,Brentford,0.5112873,0.34822455,0.14048816,1.7716038,1.0283462,5.6803274,4.3078847,11.363454,8.097518,Cambridge,0.22587024,0.20715141,0.56697834,1.3357774,1.8778436,4.61822,5.5807567,8.703866,10.434482,True,H,Y
E2,27/08/2001 00:00:00,Brighton,0.936463,0.06353696,0,2.1279483,0.4506491,6.4064865,2.4867165,12.041353,5.5531807,Blackpool,0.46794432,0,0.53205556,1.0323251,0.93687916,3.789642,4.7388434,8.3107605,9.3610325,True,H,Y
E1,27/08/2001 00:00:00,Burnley,0.7576006,0.18450025,0.057899192,1.9017118,0.92685837,6.189213,4.975837,11.429408,11.431718,Man City,0.16692331,0.34432164,0.48875502,0.89745325,1.548769,4.6053267,6.5446453,10.047297,14.634953,True,A,Y
E1,27/08/2001 00:00:00,West Brom,0.3466246,0.23941952,0.41395584,1.1187025,0.9381105,7.0063004,3.8854253,13.011699,7.1920815,Gillingham,0.17494841,0.5664913,0.2585603,0.9669133,1.1360346,4.361091,4.9797416,8.649357,10.874952,True,H,N
E2,27/08/2001 00:00:00,Wycombe,0.2845183,0.42630947,0.2891721,1.5421077,1.1221945,3.3909056,3.6135964,7.251317,8.37948,QPR,0.27728736,0.36119017,0.36152244,1.111814,1.7491318,3.5179753,5.7735667,7.742381,12.074913,True,H,N
E1,28/08/2001 00:00:00,Crewe,0.5898409,0.08880585,0.32135326,1.4204074,1.2875487,5.359781,8.039843,12.353206,15.65412,Millwall,0.22239962,0.39914003,0.37846038,1.1232327,1.611954,5.6788697,5.8819995,9.136334,9.967398,True,H,N
E2,08/09/2001 00:00:00,Brighton,0.94582224,0.05417778,0,2.5510678,0.38426724,6.9849997,2.267661,12.67371,5.1770325,QPR,0.23654056,0.30811405,0.45534533,0.94843537,1.4430411,3.7358131,5.708837,7.6333485,11.133041,True,H,Y
E2,08/09/2001 00:00:00,Bristol City,0.588422,0.24200845,0.16956955,1.9960762,1.2022375,5.4580317,4.9032316,10.888094,9.172481,Port Vale,0.27503785,0.29909903,0.4258631,0.81138635,1.0809475,4.096287,4.588001,8.205789,10.728712,True,D,N
E1,08/09/2001 00:00:00,Burnley,0.5988911,0.15615173,0.24495716,1.9168137,1.5259593,6.0755315,5.5674124,11.908988,12.66802,Rotherham,0.27837804,0.3516934,0.36992863,1.301838,1.5830629,3.2513475,6.266617,6.3916707,12.439451,True,H,Y
SC0,08/09/2001 00:00:00,Hearts,0.80695885,0.04015454,0.1528865,2.2138762,0.90704566,6.0205717,3.984316,12.124209,10.0625105,Rangers,0.82433975,0.11999479,0.055665452,2.5310855,0.5872457,7.3160744,3.2751212,12.913041,8.145427,True,D,Y
E0,08/09/2001 00:00:00,Leeds,0.7240119,0.17924112,0.09674701,2.195755,0.6035806,7.511148,4.791395,16.47399,8.202713,Bolton,0.7737744,0.1289452,0.09728045,2.4075239,0.38565904,6.425346,3.8109558,12.0457115,9.830165,True,D,N
E0,08/09/2001 00:00:00,Leicester,0.3630804,0.054764397,0.5821552,1.1950045,2.4101312,4.663272,5.115214,10.602213,12.356899,Ipswich,0.2626382,0.12177356,0.61558825,0.936833,1.3566085,4.387732,4.9943976,10.643115,10.967278,True,D,N
SC1,08/09/2001 00:00:00,Raith Rvs,0.25336406,0.22929856,0.5173374,1.2810172,1.3242918,4.1642423,4.19263,8.824323,10.113232,Falkirk,0.44353315,0.15147589,0.4049909,1.1253834,1.8188329,3.5716121,5.0382,7.7772655,10.957816,True,H,Y
E2,08/09/2001 00:00:00,Reading,0.6520948,0.26819244,0.079712786,1.745627,0.99769044,5.8418446,3.9796517,11.932689,9.068901,Cardiff,0.19584751,0.30798668,0.49616566,1.4347554,1.8009645,4.0190015,5.0187287,9.304222,10.309353,True,A,Y
E3,08/09/2001 00:00:00,Rochdale,0.57982457,0.3677839,0.052391578,1.8812675,0.83852667,11.633406,6.0157766,17.326641,10.912751,Kidderminster,0.08044133,0.1117064,0.8078523,0.5615959,1.5648503,3.3518488,5.2707562,7.7832174,11.037962,True,H,N
E1,09/09/2001 00:00:00,Watford,0.61179644,0.2701494,0.118054226,2.1463683,1.3817624,9.044611,5.74942,17.799925,10.369127,Wimbledon,0.15462059,0.6102242,0.23515524,1.2617005,1.3422351,4.7594266,4.61644,9.449515,10.509548,True,H,Y
E3,11/09/2001 00:00:00,Plymouth,0.21058655,0.28277373,0.5066397,0.98331785,1.2224857,5.615793,2.8258936,12.612484,6.9664583,Swansea,0.24403329,0.065412894,0.69055384,1.0432718,2.1180396,3.7025611,7.153572,9.73335,13.211662,True,H,Y
E2,11/09/2001 00:00:00,Wrexham,0.32579064,0.54356223,0.13064711,1.885874,1.4347516,6.126123,4.197071,10.579631,7.259237,Bury,0.32637578,0.17965418,0.49397,0.9351426,1.607356,4.49227,6.444176,9.3283615,11.524914,True,H,N
SC3,15/09/2001 00:00:00,Elgin,0.45394507,0,0.5460549,1.4225334,1.792322,4.273164,2.9441826,8.42149,7.6622114,East Fife,0.108197436,0.14280935,0.7489933,0.9029056,2.4331887,4.929705,7.2353888,11.365257,13.486788,True,D,N
E0,15/09/2001 00:00:00,Everton,0.41978985,0.49900335,0.08120684,1.7362281,1.1176997,7.4851627,2.890323,13.349681,7.557053,Liverpool,0.4570088,0.20051442,0.34247681,1.7182475,1.0268198,6.689699,5.0392866,12.90611,10.08026,True,A,Y
D1,15/09/2001 00:00:00,Hamburg,0.36373356,0.40155265,0.23471385,1.7198863,1.3191189,6.1098485,5.1103606,16.456205,11.492663,Mgladbach,0.4663093,0.20015287,0.33353782,1.7084862,1.2462996,5.921628,5.686667,13.075948,12.900795,True,D,Y
E3,15/09/2001 00:00:00,Rochdale,0.6813519,0.31864825,0,1.9425225,0.4087554,10.739457,5.8321,16.425703,10.788231,Scunthorpe,0.34100902,0.053814862,0.60517615,1.7894226,1.4236579,5.782466,5.193074,11.417292,10.587907,True,D,Y
E1,15/09/2001 00:00:00,Rotherham,0.60563755,0.205458,0.18890451,2.1025426,1.325943,5.0279236,3.991848,9.6920395,8.554992,Norwich,0.27644297,0.21997789,0.50357914,0.73756355,1.6846236,3.689455,5.3753943,7.7668314,12.220236,True,D,N
D1,15/09/2001 00:00:00,Schalke 04,0.63390994,0.30760533,0.058484763,2.6294975,1.360986,5.7796187,3.9603016,13.216798,7.929438,Dortmund,0.6080638,0.25554147,0.13639468,1.8029511,0.5794924,6.0511236,4.7267256,11.817472,12.835143,True,H,N
SC0,16/09/2001 00:00:00,Hibernian,0.28588715,0.4435148,0.2705981,1.4586848,1.6979613,5.5124264,3.454101,13.200962,7.537088,Dunfermline,0.20466395,0.10687135,0.6884647,1.1260289,1.9481236,4.143453,6.7830086,7.4488945,11.834693,True,H,Y
E0,16/09/2001 00:00:00,Ipswich,0.66449684,0.07914472,0.25635836,1.6775167,0.7428555,9.660898,3.6195285,18.032843,7.5755434,Blackburn,0.388607,0.23327523,0.37811768,1.2315117,0.8358332,5.3491797,3.1708224,12.696844,9.667657,True,D,N
SC0,16/09/2001 00:00:00,Kilmarnock,0.38732004,0.26178256,0.35089728,1.0131078,0.976685,4.113612,3.5082111,8.093204,8.191963,Hearts,0.18390904,0.33198833,0.48410258,0.55302125,1.0739805,2.4035254,4.860421,6.7226214,12.330293,True,H,N
E3,18/09/2001 00:00:00,Halifax,0.24187544,0.47443444,0.28369,0.9105181,0.87485564,4.8399043,3.3523202,10.072298,7.5451274,Mansfield,0.22209077,0.4536394,0.3242697,1.4061793,1.6542746,4.501163,6.127372,8.990436,13.921003,True,H,N
SC2,18/09/2001 00:00:00,Hamilton,0.39012218,0.55895346,0.050924465,1.3144394,0.7761955,5.97075,3.1996398,14.42128,6.536194,Stranraer,0.23691222,0.5741345,0.18895322,0.91768605,0.8902782,3.8690841,4.911847,8.57577,10.329062,True,A,N
E1,18/09/2001 00:00:00,Norwich,0.7755306,0.04456647,0.17990287,1.5692663,0.484699,4.765745,4.2249455,11.188577,12.370273,Watford,0.13491876,0.05946362,0.8056176,0.7059101,1.8997791,4.544574,5.9552293,9.969518,12.993422,True,H,Y
E2,21/09/2001 00:00:00,Tranmere,0.2307623,0.47755542,0.29168218,1.5876801,1.5788805,7.2826376,5.7129626,15.466012,9.983807,Wrexham,0.16211563,0.29859808,0.5392863,1.5773826,2.5459611,5.298278,6.102675,10.375938,12.74025,True,H,Y
E1,21/09/2001 00:00:00,Walsall,0.41060576,0.2684246,0.32096967,1.4326049,1.1176733,5.596197,3.8496885,11.047746,7.855242,Wolves,0.64088196,0.14947857,0.20963946,1.6793674,1.2476468,5.0597844,4.761517,11.205214,12.888268,True,A,Y
SC1,22/09/2001 00:00:00,Airdrie,0.40765435,0.48233446,0.11001127,1.3545811,1.0400058,4.8438797,3.8811197,10.480234,9.493768,Inverness C,0.11104522,0.44456798,0.44438678,1.0221184,1.3523188,3.7442296,4.449054,8.040732,9.481535,True,H,Y
SC3,22/09/2001 00:00:00,Dumbarton,0.29726946,0.24897927,0.45375124,1.2169397,1.3146293,4.1331067,4.5745835,8.9416895,9.276617,Elgin,0.05370528,0.561474,0.38482076,0.53224516,1.1181692,2.9076924,3.753823,6.8900514,9.6407795,True,D,Y
SC0,22/09/2001 00:00:00,Dundee United,0.4413543,0.33341616,0.2252295,1.493628,1.3690636,5.6456327,3.3064861,11.157005,6.0978265,Rangers,0.68535066,0.26836947,0.046279896,2.4728124,0.85671693,7.3565965,3.828368,13.158853,8.64575,True,A,Y
SC0,22/09/2001 00:00:00,Dunfermline,0.29320818,0.12964883,0.57714313,1.4612489,1.8391271,3.7322576,5.374891,9.455282,11.038327,Livingston,0.21176928,0.54581654,0.2424141,0.9028385,0.87415296,4.6550074,4.4980783,9.943014,8.394816,True,A,Y
E3,22/09/2001 00:00:00,Plymouth,0.36704478,0.19710414,0.435851,1.4035722,1.2375592,5.715635,3.1758235,13.175628,7.6685123,Macclesfield,0.2178366,0.39449894,0.38766432,0.7301238,1.4856038,4.334873,7.1034465,9.509928,12.262851,True,H,N
E2,22/09/2001 00:00:00,Port Vale,0.43929502,0.103422955,0.45728207,1.6401495,1.4444188,6.749372,4.514837,13.549328,11.642596,Northampton,0,0.10246773,0.8975323,0.6244267,2.3526735,3.5075767,6.7378297,7.5362573,13.448504,True,A,N
SC3,22/09/2001 00:00:00,Queens Park,0.06529813,0.33061653,0.6040855,0.8337755,1.6989236,4.8783255,4.5204825,10.217371,8.895852,East Fife,0.060116068,0.31416416,0.6257198,0.8886123,2.1973064,5.1361337,7.512601,10.586253,14.11234,True,A,Y
D2,23/09/2001 00:00:00,Greuther Furth,0.66192067,0.23231994,0.10575938,1.9727095,1.0666257,6.26807,3.806185,14.6583805,7.577539,Saarbrucken,0.21113819,0.045773335,0.7430885,1.0178273,2.2004993,4.7125506,6.196773,11.002154,11.355566,True,H,Y
SC0,23/09/2001 00:00:00,Hibernian,0.39543232,0.3754795,0.22908828,2.1205666,1.6205543,6.6559267,3.3547812,13.996459,6.964838,St Johnstone,0.07576979,0.437842,0.48638818,0.6869568,1.4657749,4.6121187,5.2141027,9.753353,11.066588,True,H,Y
SC0,23/09/2001 00:00:00,Kilmarnock,0.52358663,0.21633314,0.26008025,0.9809362,0.7174299,4.560702,3.4199786,8.400118,7.051392,Dundee,0.26426825,0.14785585,0.5878759,1.1578944,1.783127,3.6252327,4.556779,9.898099,12.56187,True,A,N
E2,25/09/2001 00:00:00,Notts County,0.25829834,0.5758493,0.16585225,1.2441676,1.2683297,5.374193,5.728689,11.838448,11.151658,Peterboro,0.21584035,0.2916817,0.49247792,0.8192087,1.7559656,5.4626565,6.597156,11.779237,11.325424,True,H,N
E2,25/09/2001 00:00:00,Oldham,0.6490706,0.19767755,0.15325192,1.9025558,1.1187841,6.2621036,6.048845,12.56338,11.677569,Bury,0.2431121,0.05260699,0.7042809,0.9563971,1.7934486,4.1113787,6.2003784,8.953955,11.092463,True,H,Y
E1,25/09/2001 00:00:00,Portsmouth,0.62678695,0.1167767,0.25643626,2.1938667,1.4530944,7.276209,4.49246,12.173679,10.183065,West Brom,0.31763104,0.30018625,0.38218275,1.1532323,1.2731366,3.5555134,4.539513,7.830603,10.192549,True,A,Y
D2,28/09/2001 00:00:00,Reutlingen,0.50438493,0.13370469,0.36191037,1.7894286,1.1357143,6.787526,4.593376,13.023855,10.435932,Bochum,0.40427834,0.045752876,0.5499688,1.5807732,1.8714254,4.2745934,5.7933435,9.657015,15.668626,True,H,Y
E3,28/09/2001 00:00:00,Southend,0.55784607,0.2652387,0.17691518,1.7699327,1.0717207,6.3037553,3.848596,12.488104,8.763649,Cheltenham,0.15555543,0.41422188,0.43022263,0.9813462,1.2560134,4.295855,4.5390797,8.856935,8.396187,True,A,N
SC3,29/09/2001 00:00:00,Albion Rvs,0.25142047,0.19423188,0.55434775,0.87154377,1.9713477,6.4649024,4.5469427,11.722733,7.7487636,Peterhead,0.5707363,0.18580501,0.24345857,1.6649358,1.2189121,5.197408,3.8940868,10.914803,10.514191,True,H,N
SC3,29/09/2001 00:00:00,East Fife,0.17986493,0.18217355,0.63796145,0.78534347,1.7447858,5.338207,5.051521,10.706447,8.998194,Dumbarton,0.81527215,0.11102451,0.07370337,2.8450322,1.4632549,6.0774837,5.9455814,10.674167,12.683946,True,H,Y
SC3,29/09/2001 00:00:00,Elgin,0.39659694,0.17353107,0.429872,1.4163518,1.5978295,4.8855805,3.3774312,9.756492,7.4841576,Montrose,0.7022558,0.06656437,0.23117982,1.2093319,0.7873388,3.3110237,3.7337432,7.004446,8.600171,True,A,Y
E0,29/09/2001 00:00:00,Everton,0.35188296,0.38278225,0.26533473,1.6526332,1.5286889,6.9766517,4.16265,12.756583,8.757027,West Ham,0.046901293,0.28510138,0.6679973,0.56801665,1.5628357,3.6284294,5.9677744,8.1219425,11.953895,True,H,Y
E2,29/09/2001 00:00:00,Reading,0.6704917,0.1241012,0.20540705,1.6240103,0.87941164,6.8353305,2.6151862,13.375822,6.145383,Bury,0.21373089,0.046249196,0.74001986,0.840812,2.1399734,3.8572834,6.9002137,8.838665,13.171442,True,D,N
E3,29/09/2001 00:00:00,Rochdale,0.6872963,0.31270382,0,2.0758855,0.5681378,11.354977,5.9968295,17.722878,10.377105,Mansfield,0.1330068,0.5023813,0.36461172,0.88460755,1.2257607,3.808295,5.7878623,9.454224,12.140416,True,H,Y
E1,29/09/2001 00:00:00,Rotherham,0.3567508,0.50741386,0.13583525,1.6760651,1.3131192,4.6729856,4.4544935,8.828849,8.619251,Wolves,0.7203744,0.13148646,0.14813921,1.9471271,1.0612059,5.016322,4.5494905,11.071714,12.372423,True,A,Y
SC0,30/09/2001 00:00:00,Dunfermline,0.21756813,0.10883518,0.6735966,1.3300627,1.8649528,4.6922083,5.314706,11.084157,10.928773,Kilmarnock,0.19980834,0.39669457,0.40349713,1.2756459,1.9753807,3.4300332,5.1794972,7.242822,9.818019,True,A,N
D2,30/09/2001 00:00:00,Ein Frankfurt,0.4062254,0.12091391,0.47286057,1.0826988,1.307533,4.9667015,6.2619243,11.63788,10.922199,Greuther Furth,0.30036375,0.389779,0.30985734,0.9312855,0.6437917,4.082467,5.911965,9.839235,10.3876295,True,A,Y
E0,30/09/2001 00:00:00,Fulham,0.33596718,0.46716496,0.19686778,1.0569615,0.8240276,4.193136,3.2691345,9.882941,7.2790084,Chelsea,0.6951273,0.17952485,0.12534784,2.076501,0.988003,5.1799297,4.14894,10.17938,9.740477,True,D,N
E3,05/10/2001 00:00:00,Shrewsbury,0.7869288,0.041330323,0.17174084,1.9767591,0.9075054,3.5691364,3.2504094,7.609326,7.143528,Hull,0.24507326,0.5332791,0.22164759,1.0780565,1.1316303,4.6213956,5.478891,10.661196,11.887683,True,D,N
E3,05/10/2001 00:00:00,Torquay,0.38374713,0.31361932,0.30263358,0.92556226,1.0782741,4.8779206,3.3026855,12.155285,8.191612,Southend,0.1399975,0.3162288,0.5437737,0.7008138,1.38772,4.086557,5.943074,8.718222,12.906155,True,H,Y
SC2,06/10/2001 00:00:00,Alloa,0.39015895,0.23064034,0.37920064,1.0592666,0.9753213,6.010086,5.1492596,8.954445,8.971861,Berwick,0.26804075,0.1468213,0.58513784,1.1082615,1.5655249,3.7320976,5.483509,9.062188,11.145153,True,D,Y
E1,13/10/2001 00:00:00,Barnsley,0.32181588,0.39146382,0.28672025,1.3873411,1.6184416,5.466533,3.8565714,12.0954,8.72961,Birmingham,0.18365958,0.46109626,0.35524407,1.1409267,1.7652702,4.8263726,5.8019385,9.625797,14.090022,True,A,Y
E2,13/10/2001 00:00:00,Blackpool,0.35221347,0.53102016,0.11676629,1.9604,1.5084658,6.919814,3.532793,13.563979,7.301101,Colchester,0.10299548,0.21661334,0.68039113,1.2128944,2.3822103,3.5452166,6.401167,8.215724,12.704158,True,H,Y
